Timestamp,Your major:,Are you an international student?,Your living arrangement during this pandemic,Does your living arrangement during this pandemic make it difficult for you to take the most out of online instruction?,How motivated are you about learning after this pandemic?,How well are you able to interact with your classmates about school work through zoom after this pandemic?,How well are you able to interact with your instructors through zoom after this pandemic?,"Describe your sense of belonging to UCLA after this pandemic. This could include ability to cope with challenges, feeling relaxed, not feeling excluded, interaction with diverse students and faculty, etc.",What are the concerns that you have after this pandemic?,In what way if any has this pandemic affected your anxiety about success in academics?,Describe if zoom has helped to lower the effect of social distancing on your academic and social life?,In what way if any has this pandemic affected your philosophy of life and what you consider to be the most important?,"We all talk about the negative effects of this pandemic, please share any positive affect this pandemic has had on you?"
2020/04/20 10:46:15 PM MDT,STEM,No,In my apartment,No,Less motivated than before?,1,1,Feeling relaxed,,Staying home makes me lazy,No,The most important thing is health,Negative is staying home makes me more lazy on study. Positive thing is I can always repeat the part that I am confused Since the lecture has been  recorded
2020/04/20 10:55:12 PM MDT,STEM,Yes,In my apartment,No,Less motivated than before?,2,2,I will graduate during the pandemic,Cannot find a job/intern in the US. Cannot immigrate,Less motivated to study,Yes it helps,Less social,Finally learn to cook. And cook well
2020/04/20 11:04:47 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,1,"UCLA feels much less like a community with online courses. Also, it is much more difficult to interact with faculty.",I am concerned about what graduate school will look like due to this pandemic. ,Online courses have made it far more difficult to be motivated which is stressful.,Zoom is much better than simply watching recorded lectures,,More time with family
2020/04/20 11:23:06 PM MDT,STEM,Yes,Outside US,No,Equally motivated,2,1,,,,,,
2020/04/20 11:35:43 PM MDT,STEM,Yes,In my apartment,No,Equally motivated,2,2,"After this pandemic, I do not feel as included as before.",Looking for a job after graduation.,This pandemic lower my anxiety about success in academics ,"Yes, zoom did.",No.,It saved me more time on transportation.
2020/04/21 1:14:07 AM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,2,,Difficult of job finding,Financial hardships,Not really,,
2020/04/21 12:08:28 PM MDT,Non-STEM,No,In my apartment,Yes,Less motivated than before?,2,1,"I feel less a part of the school. Now that my club has had to suspend all activity, my main involvement with the campus community has been severed.",I worry about finding a job in this difficult economy we are dealing with.,"I feel as though I have much to do, but being in my apartment all day instead of having access to libraries leaves a lot of room for distraction, so I am not as productive as before.","I have used Zoom to chat with my friends outside of class, and that has helped to mitigate the effects of social distancing.","As I did before, I value people more than anything.",This pandemic has strengthened some of my relationships.
2020/04/21 12:19:48 PM MDT,STEM,Yes,In my apartment,No,More motivated,2,1,"I've been interacting less with my friends since the pandemic. I've also been feeling a bit more isolated in my own hope. Luckily, my faculty mentor has been providing me with support as usual. ",Might have a hard time adjusting back to normal life. ,It has given me more time to work thus increasing my stress level because I only focus on work. ,"Yes, we are planning to have zoom dinner party with friends.",family and friends. mental and physical health,made me more productive
2020/04/21 1:08:14 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,1,2,I feel less motivated to complete tasks and/or schoolwork due to my stress from the pandemic.,"I am really concerned about the long-term implications of the pandemic and how it will impact education, careers, the economy, and marginalized communities.","I am less worried about my success in academics due to the ability to take my classes pass / no pass, but I also feel less motivated.","Yes, Zoom mimics in-person interactions because I can see my professors', TAs', and students' faces.","The pandemic has caused me to be increasingly concerned with the lack of social services available to the general public, especially marginalized communities.",I have become a lot closer to my loved ones by being able to spend more time with them!
2020/04/21 1:11:53 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,I still feel like I belong but from a distance. I do feel like a lot of opportunities are being missed out along with a lot of essential resources. I do feel a bit stressed from this due to the situation affecting my family.,My concern is how will everyone adjust to going from online back to students being at the classroom. I am also concerned if this virus will appear again even after we return to normal-ish.,"Yes, my family is struggling financially and my siblings working still are working out there with the risk of Covid-19 affecting them and the rest of my family.","Zoom has increased the effect of social distancing, which is a good thing. It has caused some lesser amount of Academic times and social life.","It hasn't affected my way of thinking of life, but it does center my focus more on my ideals. I consider my family important.",I feel like this pandemic has made me be closer to my loved ones.
